nohup: ignoring input
Namespace(adam_betas='(0.9, 0.997)', adam_eps=1e-09, adaptive_softmax_cutoff=None, amp=True, amp_level='O2', arch='transformer_wmt_en_de_big_t2t', attention_dropout=0.1, beam=4, bpe_codes=None, buffer_size=64, clip_norm=0.0, cpu=False, criterion='label_smoothed_cross_entropy', data='/data/wmt14_en_de_joined_dict', decoder_attention_heads=16, decoder_embed_dim=1024, decoder_embed_path=None, decoder_ffn_embed_dim=4096, decoder_layers=6, decoder_learned_pos=False, decoder_normalize_before=True, device_id=0, distributed_backend='nccl', distributed_init_method=None, distributed_port=-1, distributed_rank=0, distributed_world_size=1, do_sanity_check=False, dropout=0.1, enable_parallel_backward_allred_opt=False, enable_parallel_backward_allred_opt_correctness_check=False, encoder_attention_heads=16, encoder_embed_dim=1024, encoder_embed_path=None, encoder_ffn_embed_dim=4096, encoder_layers=6, encoder_learned_pos=False, encoder_normalize_before=True, fp16=False, fuse_dropout_add=False, fuse_layer_norm=True, fuse_relu_dropout=False, gen_subset='test', keep_interval_updates=-1, label_smoothing=0.1, left_pad_source=True, left_pad_target=False, lenpen=1, local_rank=0, log_interval=10, lr=[0.0006], lr_scheduler='inverse_sqrt', lr_shrink=0.1, max_epoch=1, max_len_a=0, max_len_b=200, max_positions=(1024, 1024), max_sentences=None, max_sentences_valid=None, max_source_positions=1024, max_target_positions=1024, max_tokens=5120, max_update=0, min_len=1, min_loss_scale=0.0001, min_lr=0.0, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_epoch_checkpoints=True, no_save=False, no_token_positional_embeddings=False, num_shards=1, online_eval=False, optimizer='adam', pad_sequence=1, parallel_backward_allred_opt_threshold=0, path=None, prefix_size=0, print_alignment=False, profile=False, profiler_file=None, profiler_steps=100, quiet=False, raw_text=False, relu_dropout=0.1, remove_bpe=None, replace_unk=None, restore_file='checkpoint_last.pt', sampling=False, sampling_temperature=1, sampling_topk=-1, save_dir='/results', save_interval=1, save_interval_updates=0, save_predictions=False, score_reference=False, seed=1, sentence_avg=False, sentencepiece=False, shard_id=0, share_all_embeddings=True, share_decoder_input_output_embed=False, skip_invalid_size_inputs_valid_test=False, source_lang=None, stat_file='/results/run_log.json', target_bleu=0.0, target_lang=None, test_cased_bleu=False, train_subset='train', unkpen=0, unnormalized=False, update_freq=[1], valid_subset='valid', validate_interval=1, warmup_init_lr=0.0, warmup_updates=4000, weight_decay=0.0)
| [en] dictionary: 33712 types
| [de] dictionary: 33712 types
| /data/wmt14_en_de_joined_dict train 4575637 examples
| /data/wmt14_en_de_joined_dict valid 3000 examples
| /data/wmt14_en_de_joined_dict test 3003 examples
| num. model params: 210808832
Selected optimization level O2:  FP16 training with FP32 batchnorm and FP32 master weights.

Defaults for this optimization level are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
Processing user overrides (additional kwargs that are not None)...
After processing overrides, optimization options are:
enabled                : True
opt_level              : O2
cast_model_type        : torch.float16
patch_torch_functions  : False
keep_batchnorm_fp32    : True
master_weights         : True
loss_scale             : dynamic
| model transformer_wmt_en_de_big_t2t, criterion LabelSmoothedCrossEntropyCriterion
| training on 1 GPUs
| max tokens per GPU = 5120 and max sentences per GPU = None
| Sentences are being padded to multiples of: 1
| Sentences are being padded to multiples of: 1
| Sentences are being padded to multiples of: 1
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 8192.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 4096.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 2048.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 1024.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 512.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 256.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 128.0
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 64.0
Transformer | epoch 0 | step 10 |avg loss 16.126 |avg tokens 4746.000 |tokens/s 35038.571 |walltime 12.191 |
Transformer | epoch 0 | step 350 |avg loss 11.020 |avg tokens 4840.000 |tokens/s 33913.716 |walltime 58.873 |
Transformer | epoch 0 | step 360 |avg loss 11.511 |avg tokens 4818.300 |tokens/s 35176.149 |walltime 60.243 |
Transformer | epoch 0 | step 370 |avg loss 11.293 |avg tokens 4466.600 |tokens/s 33062.992 |walltime 61.594 |
Transformer | epoch 0 | step 380 |avg loss 11.341 |avg tokens 4497.300 |tokens/s 32846.960 |walltime 62.963 |
Transformer | epoch 0 | step 390 |avg loss 11.247 |avg tokens 4554.000 |tokens/s 32269.633 |walltime 64.374 |
Transformer | epoch 0 | step 400 |avg loss 11.653 |avg tokens 4280.600 |tokens/s 32310.123 |walltime 65.699 |
Transformer | epoch 0 | step 410 |avg loss 11.334 |avg tokens 4490.200 |tokens/s 33496.966 |walltime 67.040 |
Transformer | epoch 0 | step 420 |avg loss 11.104 |avg tokens 4122.700 |tokens/s 30178.140 |walltime 68.406 |
Transformer | epoch 0 | step 430 |avg loss 11.144 |avg tokens 4399.400 |tokens/s 32006.086 |walltime 69.781 |
Transformer | epoch 0 | step 440 |avg loss 11.508 |avg tokens 4768.500 |tokens/s 35651.838 |walltime 71.118 |
Transformer | epoch 0 | step 450 |avg loss 11.424 |avg tokens 3972.100 |tokens/s 31119.198 |walltime 72.394 |
Transformer | epoch 0 | step 460 |avg loss 10.948 |avg tokens 5023.200 |tokens/s 33595.041 |walltime 73.890 |
Transformer | epoch 0 | step 470 |avg loss 11.135 |avg tokens 4543.900 |tokens/s 33703.496 |walltime 75.238 |
Transformer | epoch 0 | step 480 |avg loss 11.207 |avg tokens 4486.900 |tokens/s 32995.963 |walltime 76.598 |
Transformer | epoch 0 | step 490 |avg loss 11.245 |avg tokens 4767.300 |tokens/s 34667.245 |walltime 77.973 |
Transformer | epoch 0 | step 500 |avg loss 11.002 |avg tokens 4836.000 |tokens/s 33899.965 |walltime 79.399 |
Transformer | epoch 0 | step 510 |avg loss 11.269 |avg tokens 4769.600 |tokens/s 35429.579 |walltime 80.746 |
Transformer | epoch 0 | step 520 |avg loss 11.036 |avg tokens 4485.800 |tokens/s 33690.383 |walltime 82.077 |
Transformer | epoch 0 | step 530 |avg loss 10.964 |avg tokens 4718.800 |tokens/s 33832.329 |walltime 83.472 |
Transformer | epoch 0 | step 540 |avg loss 11.074 |avg tokens 4225.400 |tokens/s 32076.307 |walltime 84.789 |
Transformer | epoch 0 | step 550 |avg loss 11.007 |avg tokens 4537.400 |tokens/s 33559.775 |walltime 86.141 |
Transformer | epoch 0 | step 560 |avg loss 10.751 |avg tokens 4657.600 |tokens/s 33550.070 |walltime 87.530 |
Transformer | epoch 0 | step 570 |avg loss 10.834 |avg tokens 4406.300 |tokens/s 31874.870 |walltime 88.912 |
Transformer | epoch 0 | step 580 |avg loss 10.693 |avg tokens 4371.300 |tokens/s 31265.990 |walltime 90.310 |
Transformer | epoch 0 | step 590 |avg loss 10.742 |avg tokens 4391.900 |tokens/s 31394.991 |walltime 91.709 |
Transformer | epoch 0 | step 600 |avg loss 10.627 |avg tokens 4589.800 |tokens/s 33011.008 |walltime 93.099 |
Transformer | epoch 0 | step 610 |avg loss 10.767 |avg tokens 4798.900 |tokens/s 34847.248 |walltime 94.476 |
Transformer | epoch 0 | step 620 |avg loss 10.631 |avg tokens 4643.200 |tokens/s 33270.498 |walltime 95.872 |
Transformer | epoch 0 | step 630 |avg loss 10.842 |avg tokens 4290.200 |tokens/s 31839.011 |walltime 97.219 |
Transformer | epoch 0 | step 640 |avg loss 10.475 |avg tokens 4483.200 |tokens/s 31661.664 |walltime 98.635 |
Transformer | epoch 0 | step 650 |avg loss 10.846 |avg tokens 4729.900 |tokens/s 35205.221 |walltime 99.979 |
Transformer | epoch 0 | step 660 |avg loss 10.238 |avg tokens 4681.700 |tokens/s 34710.452 |walltime 101.328 |
Transformer | epoch 0 | step 670 |avg loss 10.669 |avg tokens 4824.000 |tokens/s 34783.967 |walltime 102.715 |
Transformer | epoch 0 | step 680 |avg loss 10.543 |avg tokens 4452.400 |tokens/s 32562.815 |walltime 104.082 |
Transformer | epoch 0 | step 690 |avg loss 10.600 |avg tokens 4292.800 |tokens/s 31421.308 |walltime 105.448 |
Transformer | epoch 0 | step 700 |avg loss 10.574 |avg tokens 4044.200 |tokens/s 30816.658 |walltime 106.761 |
Transformer | epoch 0 | step 710 |avg loss 10.364 |avg tokens 4747.600 |tokens/s 33733.493 |walltime 108.168 |
Gradient overflow.  Skipping step, loss scaler 0 reducing loss scale to 16.0
Transformer | epoch 0 | step 720 |avg loss 10.516 |avg tokens 4380.400 |tokens/s 32143.674 |walltime 109.531 |
Transformer | epoch 0 | step 730 |avg loss 10.568 |avg tokens 3953.800 |tokens/s 29980.779 |walltime 110.849 |
Transformer | epoch 0 | step 740 |avg loss 10.555 |avg tokens 4533.800 |tokens/s 33274.287 |walltime 112.212 |
Transformer | epoch 0 | step 750 |avg loss 10.457 |avg tokens 4559.400 |tokens/s 32721.335 |walltime 113.605 |
Transformer | epoch 0 | step 760 |avg loss 10.249 |avg tokens 4836.800 |tokens/s 33730.740 |walltime 115.039 |
Transformer | epoch 0 | step 770 |avg loss 10.343 |avg tokens 4763.100 |tokens/s 34194.955 |walltime 116.432 |
Transformer | epoch 0 | step 780 |avg loss 10.395 |avg tokens 4412.300 |tokens/s 33118.190 |walltime 117.765 |
Transformer | epoch 0 | step 790 |avg loss 10.527 |avg tokens 4735.200 |tokens/s 34774.233 |walltime 119.126 |
Transformer | epoch 0 | step 800 |avg loss 10.108 |avg tokens 4525.600 |tokens/s 32368.493 |walltime 120.524 |
Transformer | epoch 0 | step 810 |avg loss 10.239 |avg tokens 4537.300 |tokens/s 33175.856 |walltime 121.892 |
Transformer | epoch 0 | step 820 |avg loss 10.265 |avg tokens 4601.600 |tokens/s 33712.621 |walltime 123.257 |
Transformer | epoch 0 | step 830 |avg loss 10.208 |avg tokens 4701.700 |tokens/s 33460.452 |walltime 124.662 |
Transformer | epoch 0 | step 840 |avg loss 10.351 |avg tokens 4362.600 |tokens/s 32459.191 |walltime 126.006 |
Transformer | epoch 0 | step 850 |avg loss 10.125 |avg tokens 4365.300 |tokens/s 32250.124 |walltime 127.360 |
Transformer | epoch 0 | step 860 |avg loss 9.974 |avg tokens 4655.900 |tokens/s 33270.347 |walltime 128.759 |
Transformer | epoch 0 | step 870 |avg loss 10.121 |avg tokens 4686.300 |tokens/s 33791.857 |walltime 130.146 |
Transformer | epoch 0 | step 880 |avg loss 10.011 |avg tokens 4841.900 |tokens/s 35836.069 |walltime 131.497 |
Transformer | epoch 0 | step 890 |avg loss 10.374 |avg tokens 4208.500 |tokens/s 32453.906 |walltime 132.794 |
Transformer | epoch 0 | step 900 |avg loss 10.275 |avg tokens 4439.500 |tokens/s 32694.333 |walltime 134.152 |
Transformer | epoch 0 | step 910 |avg loss 9.973 |avg tokens 4735.800 |tokens/s 33914.537 |walltime 135.548 |
Transformer | epoch 0 | step 920 |avg loss 10.000 |avg tokens 4521.000 |tokens/s 32537.690 |walltime 136.938 |
Transformer | epoch 0 | step 930 |avg loss 10.111 |avg tokens 4485.700 |tokens/s 33455.363 |walltime 138.279 |
Transformer | epoch 0 | step 940 |avg loss 9.921 |avg tokens 4760.800 |tokens/s 34896.032 |walltime 139.643 |
Transformer | epoch 0 | step 950 |avg loss 10.233 |avg tokens 3946.700 |tokens/s 31071.759 |walltime 140.913 |
Transformer | epoch 0 | step 960 |avg loss 10.103 |avg tokens 4745.200 |tokens/s 34734.370 |walltime 142.279 |
Transformer | epoch 0 | step 970 |avg loss 9.959 |avg tokens 4967.000 |tokens/s 35530.255 |walltime 143.677 |
Transformer | epoch 0 | step 980 |avg loss 9.936 |avg tokens 4290.400 |tokens/s 31348.897 |walltime 145.046 |
Transformer | epoch 0 | step 990 |avg loss 9.988 |avg tokens 4642.100 |tokens/s 35094.220 |walltime 146.368 |
Transformer | epoch 0 | step 1000 |avg loss 9.754 |avg tokens 4810.900 |tokens/s 34290.020 |walltime 147.771 |
Transformer | epoch 0 | step 1010 |avg loss 10.000 |avg tokens 3619.400 |tokens/s 29283.656 |walltime 149.007 |
Transformer | epoch 0 | step 1020 |avg loss 9.645 |avg tokens 4821.800 |tokens/s 33524.869 |walltime 150.446 |
Transformer | epoch 0 | step 1030 |avg loss 9.921 |avg tokens 4113.200 |tokens/s 31635.296 |walltime 151.746 |
Transformer | epoch 0 | step 1040 |avg loss 9.563 |avg tokens 4625.200 |tokens/s 32158.962 |walltime 153.184 |
Transformer | epoch 0 | step 1050 |avg loss 9.873 |avg tokens 4734.700 |tokens/s 35668.132 |walltime 154.512 |
Transformer | epoch 0 | step 1060 |avg loss 9.663 |avg tokens 4226.700 |tokens/s 31673.123 |walltime 155.846 |
Transformer | epoch 0 | step 1070 |avg loss 9.932 |avg tokens 4131.800 |tokens/s 30654.116 |walltime 157.194 |
Transformer | epoch 0 | step 1080 |avg loss 9.789 |avg tokens 4392.200 |tokens/s 33293.204 |walltime 158.513 |
Transformer | epoch 0 | step 1090 |avg loss 9.908 |avg tokens 4145.900 |tokens/s 31073.521 |walltime 159.847 |
Transformer | epoch 0 | step 1100 |avg loss 9.438 |avg tokens 4239.500 |tokens/s 30819.597 |walltime 161.223 |
Transformer | epoch 0 | step 1110 |avg loss 9.591 |avg tokens 4679.700 |tokens/s 33224.365 |walltime 162.632 |
Transformer | epoch 0 | step 1120 |avg loss 9.626 |avg tokens 4609.100 |tokens/s 33207.713 |walltime 164.020 |
Transformer | epoch 0 | step 1130 |avg loss 9.505 |avg tokens 4714.600 |tokens/s 34218.349 |walltime 165.397 |
Transformer | epoch 0 | step 1140 |avg loss 9.519 |avg tokens 4256.700 |tokens/s 31090.349 |walltime 166.766 |
Transformer | epoch 0 | step 1150 |avg loss 9.939 |avg tokens 4098.100 |tokens/s 31426.236 |walltime 168.070 |
Transformer | epoch 0 | step 1160 |avg loss 9.697 |avg tokens 3743.600 |tokens/s 28866.791 |walltime 169.367 |
Transformer | epoch 0 | step 1170 |avg loss 9.763 |avg tokens 4452.500 |tokens/s 33579.217 |walltime 170.693 |
Transformer | epoch 0 | step 1180 |avg loss 9.520 |avg tokens 4444.200 |tokens/s 32469.044 |walltime 172.062 |
Transformer | epoch 0 | step 1190 |avg loss 9.310 |avg tokens 4816.700 |tokens/s 34174.796 |walltime 173.472 |
Transformer | epoch 0 | step 1200 |avg loss 9.557 |avg tokens 4153.500 |tokens/s 30926.372 |walltime 174.815 |
Transformer | epoch 0 | step 1210 |avg loss 9.369 |avg tokens 4412.700 |tokens/s 33176.485 |walltime 176.145 |
Transformer | epoch 0 | step 1220 |avg loss 9.591 |avg tokens 4489.100 |tokens/s 32404.789 |walltime 177.530 |
Transformer | epoch 0 | step 1230 |avg loss 9.561 |avg tokens 4406.300 |tokens/s 32029.135 |walltime 178.906 |
Transformer | epoch 0 | step 1240 |avg loss 9.533 |avg tokens 4218.800 |tokens/s 31931.545 |walltime 180.227 |
Transformer | epoch 0 | step 1250 |avg loss 9.580 |avg tokens 4411.800 |tokens/s 33438.106 |walltime 181.546 |
Transformer | epoch 0 | step 1260 |avg loss 9.284 |avg tokens 4450.000 |tokens/s 30799.020 |walltime 182.991 |
Transformer | epoch 0 | step 1270 |avg loss 9.537 |avg tokens 4509.000 |tokens/s 32194.169 |walltime 184.392 |
Transformer | epoch 0 | step 1280 |avg loss 9.341 |avg tokens 4760.800 |tokens/s 33415.374 |walltime 185.816 |
Transformer | epoch 0 | step 1290 |avg loss 9.461 |avg tokens 4139.700 |tokens/s 30606.113 |walltime 187.169 |
Transformer | epoch 0 | step 1300 |avg loss 9.417 |avg tokens 4875.700 |tokens/s 33805.278 |walltime 188.611 |
Transformer | epoch 0 | step 1310 |avg loss 9.421 |avg tokens 4744.100 |tokens/s 34161.620 |walltime 190.000 |
Transformer | epoch 0 | step 1320 |avg loss 9.297 |avg tokens 4128.400 |tokens/s 30919.043 |walltime 191.335 |
Transformer | epoch 0 | step 1330 |avg loss 9.529 |avg tokens 4701.300 |tokens/s 32351.164 |walltime 192.788 |
Transformer | epoch 0 | step 1340 |avg loss 9.589 |avg tokens 4167.600 |tokens/s 30553.102 |walltime 194.153 |
Transformer | epoch 0 | step 1350 |avg loss 8.984 |avg tokens 4708.800 |tokens/s 31807.418 |walltime 195.633 |
Transformer | epoch 0 | step 1360 |avg loss 9.444 |avg tokens 4692.900 |tokens/s 33388.342 |walltime 197.038 |
Transformer | epoch 0 | step 1370 |avg loss 9.460 |avg tokens 4811.200 |tokens/s 33887.145 |walltime 198.458 |
Transformer | epoch 0 | step 1380 |avg loss 9.316 |avg tokens 4095.900 |tokens/s 30688.544 |walltime 199.793 |
Transformer | epoch 0 | step 1390 |avg loss 9.344 |avg tokens 4153.500 |tokens/s 30052.989 |walltime 201.175 |
Transformer | epoch 0 | step 1400 |avg loss 9.353 |avg tokens 4743.700 |tokens/s 33401.491 |walltime 202.595 |
Transformer | epoch 0 | step 1410 |avg loss 9.674 |avg tokens 4357.600 |tokens/s 33703.471 |walltime 203.888 |
Transformer | epoch 0 | step 1420 |avg loss 8.834 |avg tokens 4777.600 |tokens/s 33571.876 |walltime 205.311 |
Transformer | epoch 0 | step 1430 |avg loss 9.224 |avg tokens 4613.700 |tokens/s 32664.391 |walltime 206.724 |
Transformer | epoch 0 | step 1440 |avg loss 9.414 |avg tokens 4474.100 |tokens/s 32707.039 |walltime 208.092 |
Transformer | epoch 0 | step 1450 |avg loss 9.315 |avg tokens 4552.100 |tokens/s 33737.404 |walltime 209.441 |
Transformer | epoch 0 | step 1460 |avg loss 9.309 |avg tokens 4805.200 |tokens/s 34512.656 |walltime 210.833 |
Transformer | epoch 0 | step 1470 |avg loss 9.169 |avg tokens 4808.300 |tokens/s 33589.590 |walltime 212.265 |
Transformer | epoch 0 | step 1480 |avg loss 9.134 |avg tokens 4686.200 |tokens/s 31567.958 |walltime 213.749 |
Transformer | epoch 0 | step 1490 |avg loss 9.217 |avg tokens 4018.100 |tokens/s 28899.444 |walltime 215.140 |
Transformer | epoch 0 | step 1500 |avg loss 9.361 |avg tokens 4492.800 |tokens/s 32461.990 |walltime 216.524 |
Transformer | epoch 0 | step 1510 |avg loss 9.389 |avg tokens 4327.400 |tokens/s 32516.897 |walltime 217.854 |
Transformer | epoch 0 | step 1520 |avg loss 8.971 |avg tokens 4669.500 |tokens/s 33150.063 |walltime 219.263 |
Transformer | epoch 0 | step 1530 |avg loss 8.802 |avg tokens 4531.100 |tokens/s 32868.701 |walltime 220.642 |
Transformer | epoch 0 | step 1540 |avg loss 9.508 |avg tokens 4215.400 |tokens/s 31847.129 |walltime 221.965 |
Transformer | epoch 0 | step 1550 |avg loss 9.310 |avg tokens 4473.100 |tokens/s 32664.238 |walltime 223.335 |
Transformer | epoch 0 | step 1560 |avg loss 8.898 |avg tokens 4819.700 |tokens/s 35423.473 |walltime 224.695 |
Transformer | epoch 0 | step 1570 |avg loss 8.805 |avg tokens 4379.700 |tokens/s 31692.652 |walltime 226.077 |
Transformer | epoch 0 | step 1580 |avg loss 8.789 |avg tokens 4669.200 |tokens/s 33448.639 |walltime 227.473 |
Transformer | epoch 0 | step 1590 |avg loss 9.126 |avg tokens 4354.100 |tokens/s 32170.916 |walltime 228.827 |
Transformer | epoch 0 | step 1600 |avg loss 9.401 |avg tokens 3894.400 |tokens/s 30593.178 |walltime 230.099 |
